Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6
118.0,52.0,102.0,35.0,0.91,0.81,0.86,1.05,0.85,0.86
118.0,52.0,112.0,35.0,0.88,0.81,0.86,1.05,0.85,0.86
128.0,37.0,102.0,33.0,0.89,0.81,0.86,1.03,0.85,0.86
76.0,96.0,9.0,35.0,0.89,0.82,0.85,0.88,0.88,0.99
94.0,105.0,14.0,35.0,0.89,0.82,0.85,0.88,0.91,1.04
83.0,156.0,3.0,35.0,0.89,0.82,0.85,0.88,0.9,0.99
128.0,96.0,87.0,35.0,0.91,0.85,0.86,0.9,0.97,0.85
118.0,107.0,106.0,35.0,0.91,0.85,0.86,0.9,0.99,0.86
118.0,50.0,112.0,33.0,0.89,0.81,0.86,1.03,0.85,0.86
118.0,48.0,102.0,33.0,0.89,0.81,0.86,1.02,0.85,0.86
76.0,92.0,12.0,37.0,0.91,0.81,0.85,0.88,0.85,1.04
86.0,90.0,12.0,37.0,0.91,0.81,0.85,0.88,0.85,1.05
86.0,90.0,22.0,37.0,0.91,0.81,0.85,0.88,0.85,1.06
128.0,99.0,105.0,35.0,0.89,0.85,0.86,0.91,0.97,0.86
118.0,101.0,115.0,35.0,0.89,0.82,0.85,0.93,1.01,0.86
118.0,77.0,102.0,35.0,0.91,0.81,0.86,1.07,0.85,0.86
129.0,77.0,112.0,35.0,0.89,0.81,0.86,1.07,0.85,0.86
79.0,101.0,14.0,37.0,0.9,0.81,0.85,0.88,0.85,1.08
127.0,96.0,58.0,55.0,0.9,0.82,0.86,0.88,1.15,0.88
127.0,94.0,68.0,55.0,0.9,0.82,0.85,0.89,1.15,0.88
127.0,81.0,91.0,55.0,0.88,0.82,0.86,1.11,0.86,0.87
137.0,81.0,91.0,52.0,0.89,0.82,0.86,1.1,0.86,0.87
99.0,112.0,10.0,55.0,0.91,0.82,0.86,0.88,0.86,1.1
99.0,112.0,9.0,57.0,0.91,0.82,0.86,0.89,0.86,1.1
74.0,94.0,163.0,11.0,0.92,0.83,0.88,0.9,1.16,0.88
72.0,94.0,161.0,11.0,0.9,0.83,0.87,0.9,1.15,0.88
50.0,39.0,112.0,11.0,0.9,0.83,0.87,1.03,0.87,0.89
60.0,39.0,102.0,11.0,0.92,0.84,0.87,1.03,0.87,0.89
56.0,94.0,63.0,13.0,0.9,0.83,0.86,0.89,0.87,1.08
83.0,123.0,159.0,15.0,0.92,0.94,0.86,0.9,1.25,0.96
83.0,123.0,156.0,15.0,0.91,0.94,0.86,0.9,1.26,0.97
106.0,105.0,179.0,13.0,0.9,0.83,0.87,1.12,0.87,0.89
69.0,118.0,43.0,15.0,0.9,0.84,0.87,0.89,0.87,1.15
87.0,118.0,113.0,13.0,0.91,0.83,0.86,0.89,1.23,0.87
87.0,118.0,123.0,13.0,0.9,0.83,0.86,0.89,1.23,0.87
76.0,77.0,128.0,13.0,0.89,0.83,0.86,1.06,0.87,0.88
78.0,77.0,132.0,13.0,0.91,0.83,0.87,1.05,0.87,0.88
47.0,94.0,38.0,13.0,0.9,0.83,0.86,0.89,0.87,1.05
47.0,94.0,40.0,13.0,0.92,0.83,0.86,0.89,0.87,1.04
77.0,50.0,134.0,4.0,0.89,0.83,0.86,0.88,1.2,0.89
71.0,48.0,111.0,4.0,0.91,0.83,0.86,0.89,1.15,0.89
60.0,6.0,67.0,4.0,0.89,0.83,0.86,1.02,0.86,0.88
50.0,6.0,77.0,4.0,0.89,0.83,0.86,1.02,0.86,0.87
57.0,22.0,32.0,4.0,0.92,0.82,0.86,0.89,0.86,1.06
86.0,26.0,132.0,4.0,0.89,0.83,0.87,0.89,1.08,0.89
58.0,13.0,64.0,4.0,0.89,0.83,0.86,0.99,0.86,0.87
71.0,13.0,71.0,4.0,0.92,0.83,0.86,0.99,0.86,0.87
51.0,15.0,44.0,6.0,0.91,0.82,0.86,0.89,0.86,1.03
41.0,15.0,44.0,6.0,0.89,0.82,0.86,0.88,0.86,1.04
82.0,28.0,133.0,4.0,0.91,0.82,0.86,0.89,1.14,0.86
79.0,30.0,177.0,4.0,0.89,0.82,0.86,0.94,1.26,0.86
79.0,30.0,188.0,4.0,0.89,0.82,0.86,0.94,1.27,0.86
86.0,33.0,144.0,4.0,0.89,0.84,0.86,0.88,1.06,0.86
76.0,33.0,161.0,4.0,0.91,0.84,0.86,0.88,1.06,0.86
57.0,22.0,146.0,4.0,0.88,0.82,0.86,0.88,1.23,0.86
63.0,2.0,124.0,4.0,0.9,0.82,0.86,0.89,1.15,0.86
75.0,0.0,124.0,4.0,0.91,0.82,0.86,0.88,1.16,0.86
