Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6
15.0,147.0,413.0,209.0,0.85,0.8,0.89,0.84,0.84,1.0
6.0,171.0,446.0,121.0,0.86,0.81,0.9,0.86,0.85,1.08
2.0,169.0,448.0,125.0,0.87,0.81,0.9,0.86,0.85,1.08
4.0,149.0,195.0,211.0,0.86,0.81,0.9,0.86,0.85,1.07
4.0,151.0,187.0,147.0,0.86,0.81,0.9,0.86,0.85,1.08
26.0,68.0,134.0,110.0,0.86,0.81,0.9,0.86,1.13,0.88
28.0,63.0,138.0,112.0,0.86,0.8,0.9,0.86,1.09,0.88
8.0,136.0,314.0,121.0,0.85,0.8,0.89,0.86,1.05,0.94
6.0,129.0,321.0,123.0,0.85,0.8,0.89,0.86,1.04,0.93
13.0,147.0,308.0,118.0,0.85,0.81,0.89,0.86,1.04,0.95
44.0,74.0,354.0,85.0,0.86,0.81,0.89,0.86,0.89,0.88
19.0,26.0,435.0,13.0,0.86,0.8,0.89,0.86,0.9,0.88
37.0,74.0,332.0,90.0,0.85,0.81,0.89,0.86,1.1,0.88
77.0,39.0,602.0,48.0,0.88,0.81,0.9,0.97,0.94,0.89
85.0,35.0,596.0,48.0,0.88,0.81,0.9,0.95,0.94,0.89
57.0,63.0,367.0,74.0,0.86,0.82,0.9,0.96,1.06,0.89
70.0,68.0,376.0,79.0,0.86,0.81,0.9,0.99,1.04,0.89
83.0,52.0,422.0,61.0,0.88,0.81,0.9,0.96,0.96,0.89
96.0,81.0,398.0,72.0,0.89,0.81,0.9,0.95,0.97,0.89
4.0,158.0,81.0,224.0,0.85,0.8,0.9,0.86,0.85,1.04
6.0,105.0,103.0,215.0,0.86,0.8,0.9,0.85,0.85,1.0
8.0,103.0,90.0,235.0,0.86,0.8,0.89,0.85,0.85,0.98
6.0,101.0,90.0,228.0,0.86,0.8,0.9,0.86,0.85,0.97
4.0,94.0,90.0,222.0,0.86,0.81,0.9,0.85,0.85,0.98
41.0,83.0,99.0,261.0,0.86,0.8,0.9,0.86,0.85,1.01
39.0,77.0,96.0,261.0,0.86,0.8,0.89,0.86,0.85,1.01
39.0,74.0,96.0,259.0,0.86,0.81,0.89,0.85,0.85,1.01
63.0,55.0,59.0,66.0,0.85,0.8,0.89,0.85,1.11,0.88
